BedroomCount,LivingArea,Furnished,Fireplace,TerraceArea,GardenArea,Facades,SwimmingPool,EnergyConsumptionPerSqm,Latitude,Longitude,Condition#,KitchenType#,PropertySubType_Apartment_Block,PropertySubType_Bungalow,PropertySubType_Castle,PropertySubType_Chalet,PropertySubType_Country_Cottage,PropertySubType_Duplex,PropertySubType_Exceptional_Property,PropertySubType_Farmhouse,PropertySubType_Flat_Studio,PropertySubType_Ground_Floor,PropertySubType_House,PropertySubType_Kot,PropertySubType_Loft,PropertySubType_Manor_House,PropertySubType_Mansion,PropertySubType_Mixed_Use_Building,PropertySubType_Other_Property,PropertySubType_Penthouse,PropertySubType_Service_Flat,PropertySubType_Town_House,PropertySubType_Triplex,PropertySubType_Villa
4,115.0,0,1,0.0,0.0,,0,291.0,51.304449,4.509961,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,110.0,0,0,2.0,285.0,2,0,444.0,50.7599261,4.5281533,3.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,320.0,0,0,0.0,7200.0,4,0,252.0,50.9925965,3.1028327,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,57.0,0,0,0.0,0.0,2,0,521.0,50.8335538,4.3027922,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,74.0,0,0,0.0,190.0,2,0,533.0,50.3080584,4.1130055,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,117.0,0,0,0.0,0.0,3,0,519.0,50.8201155,3.2668358,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,88.0,0,0,14.0,0.0,2,0,,51.1726725,4.7431011,3.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,111.0,0,0,14.0,0.0,,0,,51.2004057,3.8104513,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,161.0,0,0,0.0,723.0,4,0,,50.4331854,4.5661345,,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,103.0,0,0,19.0,0.0,,0,147.0,50.0818936,5.1150525,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,345.0,0,0,60.0,786.0,3,0,419.0,50.795417,4.3581045,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,250.0,0,1,1.0,1977.0,4,0,,50.6852974,5.3274783,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,87.0,0,0,15.0,590.0,2,0,604.0,50.0751678,5.1542559,2.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,825.0,0,0,0.0,0.0,4,0,,50.8319646,3.6064514,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,200.0,0,0,0.0,506.0,,0,745.0,50.8746374,4.053219,,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,92.0,0,0,15.0,0.0,2,0,,51.0983465,3.9941744,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,241.0,0,0,0.0,1880.0,4,0,318.0,51.147645,4.8454916,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,134.0,0,0,10.0,110.0,2,0,525.0,50.8737092,4.717184,1.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,200.0,0,0,0.0,172.0,2,0,235.0,50.6498692,5.5925944,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,123.0,0,0,0.0,178.0,3,0,173.0,51.1937455,3.2553338,4.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,150.0,0,0,0.0,859.0,4,0,,50.6433986,3.834867,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,152.0,0,0,7.0,0.0,2,0,251.0,51.0598952,4.8334261,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,103.0,0,0,0.0,0.0,,0,,51.3191638,4.9820625,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,321.0,0,0,0.0,893.0,2,0,68.0,50.8842418,3.3529095,3.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,89.0,0,0,21.0,0.0,,0,,51.1307225,5.4531041,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,145.0,0,0,24.0,289.0,3,0,377.0,50.9162078,3.9684726,3.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,233.0,0,0,0.0,1043.0,4,1,790.0,51.1978175,3.2729947,3.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,107.0,0,0,16.0,0.0,2,0,171.0,50.8108094,4.9458559,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,200.0,0,0,0.0,934.0,,0,299.0,50.9528007,3.6419251,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,332.0,0,0,4.0,121.0,3,0,349.0,50.8372866,4.4229879,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,163.0,0,0,0.0,210.0,2,0,1001.0,51.1031098,4.3026444,1.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,66.0,0,0,0.0,22.0,,0,327.0,51.0658709,3.7278841,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,21.0,1,0,0.0,0.0,,0,,50.8789706,4.6887071,5.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,95.0,0,0,9.0,0.0,,0,125.0,50.8506309,4.3132453,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,482.0,0,0,85.0,325.0,2,0,,50.8511529,3.2861998,2.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,215.0,0,0,0.0,599.0,3,0,972.0,50.876312,4.0236192,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,95.0,0,0,6.0,0.0,2,0,124.0,50.8281249,3.2835998,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,57.0,0,0,10.0,0.0,,0,88.0,50.9093814,4.6772231,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,278.0,0,0,0.0,165.0,2,0,279.0,51.0468303,3.9475908,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,220.0,0,0,85.0,0.0,3,0,276.0,51.1840158,4.4432075,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,149.0,0,0,78.0,1561.0,3,0,171.0,50.6211469,5.5097753,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,38.0,1,0,0.0,0.0,2,0,821.0,50.8243389,4.3498978,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,93.0,0,0,15.0,0.0,4,0,,51.0509079,4.3725808,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,79.0,0,0,20.0,0.0,3,0,228.0,50.5390647,5.8231378,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,85.0,0,0,0.0,0.0,,0,157.0,51.349496,3.2817375,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,138.0,0,0,70.0,131.0,2,0,181.0,50.6341265,5.738629,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,95.0,0,0,12.0,0.0,,0,48.0,50.8530565,4.42878,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,239.0,0,0,55.0,239.0,2,0,291.0,51.1972379,4.5152052,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,170.0,0,0,20.0,800.0,4,0,,50.5542629,4.4994108,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,76.0,0,0,0.0,0.0,,0,89.01,51.2428747,4.4721324,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,146.0,0,0,0.0,605.0,3,0,,50.9814739,5.1814853,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,80.0,0,0,0.0,0.0,2,0,389.0,50.9437362,4.0525459,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,85.0,0,0,11.0,0.0,,0,415.0,51.1780484,4.4252126,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,192.0,0,0,0.0,385.0,,0,,51.113149,5.255759,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,108.0,0,0,4.0,0.0,2,0,43.0,51.1651364,4.4501432,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,170.0,0,1,11.0,0.0,2,0,,51.241797,4.899054,,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,210.0,0,0,20.0,816.0,3,0,402.0,50.9865384,3.6377402,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,89.0,0,0,18.0,0.0,,0,110.0,51.0286176,3.7476298,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,87.0,0,0,0.0,0.0,,0,261.0,51.201064,4.4298679,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,90.0,0,0,0.0,135.0,3,0,899.0,51.0949927,4.5118407,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,211.0,0,0,0.0,444.0,3,0,456.0,50.9129505,3.9785815,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,105.0,0,0,15.0,0.0,3,0,172.0,50.8606527,4.7627402,5.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,170.0,0,0,0.0,95.0,,0,321.0,51.2040627,3.2140081,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,204.0,0,0,40.0,1108.0,3,0,145.0,49.7638454,5.7323,,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,88.0,0,0,0.0,0.0,2,0,92.0,50.8910847,4.0681511,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,62.0,0,0,0.0,0.0,2,0,436.0,50.8638697,4.3674832,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,58.0,0,0,0.0,0.0,2,0,149.0,50.4253821,6.0341792,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,107.0,0,0,15.0,300.0,2,0,267.0,50.6609324,5.5612496,3.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,245.0,0,0,0.0,0.0,3,0,318.0,50.3952527,4.6949134,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,91.0,0,0,0.0,0.0,,0,,51.0427862,3.7401078,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,110.0,0,0,0.0,770.0,4,0,687.0,51.1111781,4.6339468,1.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,160.0,0,0,20.0,0.0,3,0,,50.8834761,4.3531627,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,124.0,0,0,0.0,380.0,,0,253.0,51.117939,3.9028732,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,82.0,0,0,4.0,0.0,2,0,339.0,50.8695616,4.3959065,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60.0,0,0,0.0,0.0,4,0,50.0,50.8639409,4.4034631,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,72.0,0,0,0.0,0.0,,0,105.0,51.167206,4.1534719,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,101.0,0,0,0.0,65.0,,0,454.0,51.0888148,4.3692907,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,20.0,0,0,0.0,0.0,,0,100.0,50.8568958,4.350597,3.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,190.0,0,0,12.0,152.0,2,0,274.0,51.1770331,4.3975068,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,14.0,1,0,0.0,0.0,2,0,,50.8734231,4.6888291,5.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,385.0,0,0,43.0,806.0,,0,298.0,50.8751738,3.3107906,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,36.0,0,0,0.0,0.0,2,0,362.0,51.1692262,4.463149,3.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,176.0,0,1,0.0,158.0,2,0,451.0,50.8687047,4.3307151,2.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,244.0,0,0,0.0,320.0,2,0,216.0,51.0953786,4.2375656,,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,92.0,0,0,0.0,0.0,2,0,444.0,50.8508893,4.3942781,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,187.0,0,1,0.0,290.0,3,0,232.0,51.162889,4.981467,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,203.0,0,0,0.0,1380.0,,0,521.0,51.0648584,4.991511,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,213.0,0,0,0.0,328.0,,0,,50.7696386,3.4434964,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,94.0,0,0,10.0,0.0,2,0,125.0,51.1384795,4.7420648,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,130.0,0,0,0.0,512.0,3,0,375.0,50.9433713,4.6409791,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,190.0,0,0,20.0,3811.0,,0,384.0,51.0169737,3.5795544,2.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,507.0,0,1,32.0,9019.0,4,1,306.0,50.1084187,5.1922384,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,85.0,0,0,0.0,350.0,3,0,1635.0,51.3321552,4.6722171,2.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,159.0,0,0,0.0,192.0,2,0,263.0,51.1807247,4.3784124,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,176.0,0,0,0.0,0.0,2,0,191.0,50.9236015,5.3196417,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,84.0,0,0,9.0,0.0,3,0,152.0,51.2035357,4.442361,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,130.0,0,0,0.0,0.0,2,0,973.0,50.6179271,5.497348,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,121.0,0,0,0.0,0.0,3,0,,51.2521783,4.4969878,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100.0,0,0,2.0,0.0,2,0,111.0,51.2300204,2.9211932,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,102.0,0,0,0.0,0.0,2,0,197.0,51.3560619,3.305335,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,95.0,0,1,9.0,0.0,4,0,251.0,50.745205,3.5920445,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,145.0,0,0,0.0,545.0,4,0,815.0,51.1641803,4.9006108,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,150.0,0,0,30.0,415.0,2,0,365.0,50.6173591,5.481534,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,70.0,0,0,0.0,0.0,,0,196.0,51.3317067,3.3140885,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100.0,0,0,0.0,0.0,,0,31.0,51.3458413,3.2885966,5.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,85.0,0,0,5.0,0.0,,0,234.0,51.2081882,4.4121728,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,87.0,0,0,0.0,117.0,2,0,1083.0,51.2941105,3.1923223,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,165.0,0,0,50.0,1480.0,4,1,244.0,50.320187,5.1504491,3.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,81.0,0,0,0.0,345.0,,0,,50.4316401,4.5266263,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,120.0,0,0,0.0,0.0,,0,448.0,51.182891,3.2182068,,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,385.0,0,0,0.0,153.0,2,0,185.0,51.1777001,4.3504491,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,355.0,0,0,0.0,460.0,3,0,,50.8802955,4.2249527,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,140.0,0,0,0.0,612.0,3,0,217.0,50.7507743,3.2678974,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,74.0,0,0,0.0,0.0,,0,,51.10459,4.00285,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,59.0,0,0,0.0,0.0,2,0,197.0,51.0340716,3.7085203,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,59.0,0,1,9.0,0.0,2,0,,50.9301492,5.3317664,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,348.0,0,0,0.0,2750.0,,0,275.0,50.9563391,5.5558905,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,300.0,0,0,0.0,13413.0,4,0,529.0,51.0167613,2.7110731,3.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,185.0,0,0,0.0,1060.0,4,0,658.0,51.221666,4.912913,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,156.0,0,1,8.0,112.0,2,0,249.0,51.233665,4.4545782,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,97.0,0,0,0.0,0.0,,0,178.0,51.3543849,3.2949069,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,134.0,0,0,0.0,109.0,,0,58.0,51.0886106,3.7148647,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,191.0,0,0,0.0,656.0,,0,0.0,50.9235958,4.5225257,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,78.0,0,0,7.0,0.0,2,0,,51.060308,4.352967,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
